gene	geneCountCategory
V1339799	HGC
V1886719	LGC
V1580955	LGC
V1552772	LGC
V1886416	LGC
V1163593	LGC
V1093074	HGC
V1340884	HGC
V1552804	LGC
V1392169	HGC
V1889488	LGC
V1392006	HGC
V1195882	HGC
V1886517	LGC
V1483410	HGC
V1519450	HGC
V1420590	LGC
V1392216	HGC
V1143984	LGC
V1144304	LGC
V1143837	LGC
V1574099	LGC
V1059001	HGC
V1392051	HGC
V1886558	LGC
V1363976	HGC
V1886712	LGC
V1882887	LGC
V1144133	LGC
V1392504	HGC
V1886965	LGC
V1852109	HGC
V1430573	HGC
V1078022	HGC
V1608313	HGC
V1481366	LGC
V1075411	HGC
V1469363	LGC
V1879918	LGC
V1483459	HGC
V1043585	HGC
V1144329	LGC
V1381099	HGC
V1339886	HGC
V1581223	LGC
V1886598	LGC
V1886538	LGC
V1888250	LGC
V1887155	LGC
V1101641	LGC
V1339711	HGC
V1552713	LGC
V1144385	LGC
V1431066	HGC
V1043994	HGC
V1886629	LGC
V1339870	HGC
V1500383	HGC
V1879897	LGC
V1432307	HGC
V1297375	LGC
V1060343	HGC
V1595331	HGC
V1364188	HGC
V1469298	LGC
V1366482	LGC
V1481472	LGC
V1594051	HGC
V1886966	LGC
V1469301	LGC
V1595138	HGC
V1580921	LGC
V1340709	HGC
V1397554	HGC
V1436037	HGC
V1423312	LGC
V1491685	HGC
V1465413	HGC
V1203845	HGC
V1886507	LGC
V1518341	HGC
V1886466	LGC
V1389384	LGC
V1519991	HGC
V1431896	HGC
V1144313	LGC
V1491905	HGC
V1464388	HGC
V1576007	HGC
V1263899	LGC
V1340164	HGC
V1886957	LGC
V1159530	HGC
V1392654	HGC
V1581571	LGC
V1879985	LGC
V1886446	LGC
V1033819	HGC
V1033302	HGC
V1076018	HGC
V1875142	LGC
V1431657	HGC
V1609309	LGC
V1592800	LGC
V1198404	HGC
V1886116	LGC
V1340000	HGC
V1163243	LGC
V1381169	HGC
V1033375	LGC
V1431561	HGC
V1469285	LGC
V1886605	LGC
V1383592	HGC
V1297356	LGC
V1886674	LGC
V1879868	LGC
V1158598	HGC
V1499093	HGC
V1382759	HGC
V1886400	LGC
V1095734	HGC
V1886498	LGC
V1326948	HGC
V1581637	LGC
V1491718	HGC
V1608857	LGC
V1399511	LGC
V1883280	LGC
V1886500	LGC
V1042632	HGC
V1149253	LGC
V1389989	LGC
V1879847	LGC
V1144021	LGC
V1448171	LGC
V1430689	HGC
V1500069	HGC
V1886043	LGC
V1364363	HGC
V1045598	HGC
V1295628	HGC
V1144147	LGC
V1569000	HGC
V1879857	LGC
V1341203	HGC
V1562543	HGC
V1886618	LGC
V1594919	HGC
V1886647	LGC
V1886580	LGC
V1339962	HGC
V1746777	HGC
V1423318	LGC
V1886658	LGC
V1415785	HGC
V1432440	HGC
V1886652	LGC
V1355689	HGC
V1203277	HGC
V1044037	HGC
V1493421	HGC
V1356684	HGC
V1886405	LGC
V1886635	LGC
V1886725	LGC
V1074834	HGC
V1886512	LGC
V1269184	HGC
V1886409	LGC
V1493470	HGC
V1541236	LGC
V1380652	HGC
V1200639	HGC
V1886552	LGC
V1886303	LGC
V1339706	HGC
V1593025	LGC
V1886447	LGC
V1886654	LGC
V1235922	LGC
V1879848	LGC
V1143974	LGC
V1144166	LGC
V1886389	LGC
V1886462	LGC
V1852142	HGC
V1518834	HGC
V1520185	HGC
V1580860	LGC
V1096225	HGC
V1295801	HGC
V1886079	LGC
V1077866	HGC
V1391713	LGC
V1888234	LGC
V1364575	HGC
V1886535	LGC
V1886579	LGC
V1886614	LGC
V1574805	HGC
V1057035	HGC
V1144117	LGC
V1339995	HGC
V1483378	HGC
V1886513	LGC
V1886439	LGC
V1463112	LGC
V1886651	LGC
V1469582	LGC
V1339861	HGC
V1886516	LGC
V1574934	HGC
V1392405	HGC
V1076095	HGC
V1416302	LGC
V1575814	HGC
V1886399	LGC
V1044644	HGC
V1594751	HGC
V1886699	LGC
V1092303	HGC
V1464058	HGC
V1552748	LGC
V1064859	LGC
V1886482	LGC
V1033571	LGC
V1589075	HGC
V1572527	HGC
V1886619	LGC
V1609073	LGC
V1886728	LGC
V1530689	HGC
V1469390	LGC
V1076392	HGC
V1887029	LGC
V1159366	HGC
V1143335	LGC
V1581212	LGC
V1517484	HGC
V1158726	HGC
V1430690	HGC
V1580786	LGC
V1195980	HGC
V1340575	HGC
V1886584	LGC
V1160180	HGC
V1886713	LGC
V1136980	LGC
V1547327	LGC
V1886438	LGC
V1886673	LGC
V1886615	LGC
V1389769	LGC
V1491800	HGC
V1592583	LGC
V1143990	LGC
V1608734	LGC
V1144065	LGC
V1149378	LGC
V1886509	LGC
V1469287	LGC
V1462142	LGC
V1581271	LGC
V1886414	LGC
V1886663	LGC
V1886613	LGC
V1381439	HGC
V1886153	LGC
V1498665	HGC
V1339715	HGC
V1427631	HGC
V1100916	HGC
V1160507	HGC
V1541210	LGC
V1481403	LGC
V1886616	LGC
V1033877	HGC
V1519499	HGC
V1389813	LGC
V1469421	LGC
V1399043	LGC
V1430423	HGC
V1879849	LGC
V1045139	HGC
V1886506	LGC
V1502070	HGC
V1112930	HGC
V1886737	LGC
V1464316	HGC
V1886585	LGC
V1389743	LGC
V1887295	LGC
V1886679	LGC
V1466896	HGC
V1886639	LGC
V1552738	LGC
V1144175	LGC
V1046755	LGC
V1167994	HGC
V1326793	HGC
V1092573	HGC
V1469327	LGC
V1886494	LGC
V1575773	HGC
V1075476	HGC
V1886553	LGC
V1339642	LGC
V1886258	LGC
V1432359	HGC
V1149241	LGC
V1160203	HGC
V1201295	HGC
V1366629	LGC
V1541202	LGC
V1521086	HGC
V1091633	HGC
V1541224	LGC
V1144029	LGC
V1094438	HGC
V1886508	LGC
V1886609	LGC
V1886489	LGC
V1340235	HGC
V1293700	HGC
V1520249	HGC
V1339618	LGC
V1389777	LGC
V1295524	HGC
V1097461	HGC
V1144023	LGC
V1469581	LGC
V1464522	HGC
V1264549	LGC
V1197979	HGC
V1144017	LGC
V1328684	HGC
V1581644	LGC
V1144340	LGC
V1879874	LGC
V1143821	LGC
V1033775	LGC
V1392163	HGC
V1423351	LGC
V1886525	LGC
V1498827	HGC
V1879901	LGC
V1077036	HGC
V1097503	HGC
V1503145	LGC
V1045334	HGC
V1302680	LGC
V1399193	LGC
V1463315	LGC
V1144281	LGC
V1580761	LGC
V1043350	HGC
V1886702	LGC
V1340494	HGC
V1469295	LGC
V1576522	HGC
V1281865	HGC
V1293972	HGC
V1431931	HGC
V1390025	LGC
V1499765	HGC
V1592383	LGC
V1302876	LGC
V1295093	HGC
V1469318	LGC
V1886603	LGC
V1042561	HGC
V1196381	HGC
V1521548	HGC
V1339665	LGC
V1392302	HGC
V1886473	LGC
V1852051	HGC
V1339538	LGC
V1144283	LGC
V1886568	LGC
V1879966	LGC
V1880119	LGC
V1886476	LGC
V1143964	LGC
V1886496	LGC
V1469488	LGC
V1577012	HGC
V1144388	LGC
V1302720	LGC
V1159593	HGC
V1196561	HGC
V1326363	HGC
V1581530	LGC
V1366480	LGC
V1093590	HGC
V1339707	HGC
V1886569	LGC
V1341129	HGC
V1136929	LGC
V1499283	HGC
V1439755	LGC
V1076603	HGC
V1435971	HGC
V1076023	HGC
V1236225	LGC
V1329957	HGC
V1256376	LGC
V1383406	HGC
V1886477	LGC
V1469338	LGC
V1886628	LGC
V1887017	LGC
V1269224	HGC
V1880084	LGC
V1098773	HGC
V1569602	HGC
V1033817	LGC
V1326789	HGC
V1398959	LGC
V1420630	LGC
V1077531	HGC
V1886485	LGC
V1297378	LGC
V1609487	LGC
V1458101	HGC
V1886502	LGC
V1390120	LGC
V1469305	LGC
V1469309	LGC
V1879931	LGC
V1874650	HGC
V1886514	LGC
V1414213	HGC
